ID,Contractee,Contractor,CPV,Type,Country,Nuts,Value,Currency,Value in EUR
439549-2020,Asociația Universităților a Institutelor de Cercetare-Dezvoltare și a Bibliotecilor Centrale Universitare din România,E-NFORMATION,72320000,SERVICES,RO,RO213,38698700.0,RON,7833744.94
439549-2020,Asociația Universităților a Institutelor de Cercetare-Dezvoltare și a Bibliotecilor Centrale Universitare din România,S.C. ROMDIDAC S.A. S.A.,72320000,SERVICES,RO,RO213,2294603.0,RON,464494.53
437675-2020,Klinikum Region Hannover GmbH,Leica GmbH,38510000,SUPPLIES,DE,DE929,430429.79,EUR,430429.79
437299-2020,Kaarea Oy,Veraisen Leipomo Oy,15810000,SUPPLIES,FI,FI1C1,800000.0,EUR,800000.0
437299-2020,Kaarea Oy,Lunden Food Oü,15810000,SUPPLIES,FI,FI1C1,600000.0,EUR,600000.0
437529-2020,Komenda Powiatowa Państwowej Straży Pożarnej w Wejherowie,Wawrzaszek ISS Spółka z ograniczoną odpowiedzialnością – Spółka komandytowa,34144210,SUPPLIES,PL,PL634,886000.0,PLN,191360.69
437644-2020,Spitalul Clinic Județean de Urgență Craiova,CLINI-LAB,24931250,SUPPLIES,RO,RO411,2574.7,RON,521.19
437644-2020,Spitalul Clinic Județean de Urgență Craiova,BIOMAXIMA CLINICAL S.R.L.,24931250,SUPPLIES,RO,RO411,6401.4,RON,1295.83
437644-2020,Spitalul Clinic Județean de Urgență Craiova,A.M.S. 2000 TRADING IMPEX S.R.L.,24931250,SUPPLIES,RO,RO411,1826.0,RON,369.64
437644-2020,Spitalul Clinic Județean de Urgență Craiova,SANIMED INTERNATIONAL IMPEX,24931250,SUPPLIES,RO,RO411,9747.17,RON,1973.11
437644-2020,Spitalul Clinic Județean de Urgență Craiova,MEDICLIM S.R.L.,24931250,SUPPLIES,RO,RO411,11890.0,RON,2406.88
437644-2020,Spitalul Clinic Județean de Urgență Craiova,DIALAB SOLUTIONS,24931250,SUPPLIES,RO,RO411,300.0,RON,60.73
437644-2020,Spitalul Clinic Județean de Urgență Craiova,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,24931250,SUPPLIES,RO,RO411,2520.0,RON,510.12
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Media-Med Sp. z o.o.,33182300,SUPPLIES,PL,PL213,38072.0,PLN,8222.89
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Skamex Sp. z o.o. Sp.k.,33182300,SUPPLIES,PL,PL213,87261.5,PLN,18846.98
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,PHU Anmar Sp. z o.o. Sp.k.,33182300,SUPPLIES,PL,PL213,61510.2,PLN,13285.14
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,PHU Anmar Sp. z o.o. Sp.k.,33182300,SUPPLIES,PL,PL213,9850.0,PLN,2127.43
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Euro Trade Technology Sp. z o.o.,33182300,SUPPLIES,PL,PL213,308000.0,PLN,66522.68
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Konsorcjum firm: Lider: Citonet-Kraków Sp. z o.o.,33182300,SUPPLIES,PL,PL213,453001.3,PLN,97840.45
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Zarys International Group Sp. z o.o. Sp.k.,33182300,SUPPLIES,PL,PL213,77288.8,PLN,16693.05
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Konsorcjum firm: Lider: 3M Poland Sp. z o.o.,33182300,SUPPLIES,PL,PL213,340114.0,PLN,73458.75
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Skamex Sp. z o.o. Sp.k.,33182300,SUPPLIES,PL,PL213,71050.0,PLN,15345.57
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Aspironix Polska Sp. z o.o.,33182300,SUPPLIES,PL,PL213,661610.0,PLN,142896.33
437779-2020,Krakowski Szpital Specjalistyczny im. Jana Pawła II,Konsorcjum firm: Lider: Urtica Sp. z o.o.,33182300,SUPPLIES,PL,PL213,87936.0,PLN,18992.66
439010-2020,Comune di Olbia,Consorzio territoriale Network Etico Italia soc. coop. sociale consortile onlus,85312300,SERVICES,IT,ITG29,993096.02,EUR,993096.02
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Medi-lab d.o.o.,33696500,SUPPLIES,HR,HR036,8020.0,HRK,1065.07
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Jasika d.o.o.,33696500,SUPPLIES,HR,HR036,299538.0,HRK,39779.28
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Poloplus d.o.o.,33696500,SUPPLIES,HR,HR036,182932.0,HRK,24293.76
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Bomi-lab d.o.o.,33696500,SUPPLIES,HR,HR036,11550.0,HRK,1533.86
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Bomi-lab d.o.o.,33696500,SUPPLIES,HR,HR036,30800.0,HRK,4090.31
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,H.K.O. d.o.o.,33696500,SUPPLIES,HR,HR036,299850.0,HRK,39820.72
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,H.K.O. d.o.o.,33696500,SUPPLIES,HR,HR036,268671.48,HRK,35680.14
